id,city,state,country,nationality,ethnicity,age,gender,length,width,income,height,wingspan,left,right,reaction,ipd,fitness,disability,language,start,end,device,close,distance,color,hand
1,berkeley,CA,USA,spanish,white,28,m,2.1,2.9,2,181,182,82,83,202,63,3,FALSE,spanish,2:43,2:56,Vive Pro 2,0,2,0,right
3,berkeley,CA,USA,american,asian,20,m,2.1,2.9,5,179,183,78,82,204,70,2,FALSE,spanish,4:37,4:45,Vive Pro 2,0,1,0,right
